Kana  ,English  ,Common Japanese  ,Kanji  
ささい,"trifling, trivial",,些細
そせい,"revival, resuscitation",,蘇生
おにひとで(鬼海星),crown-of-thorns starfish,,オニヒトデ
しゃち,"killer whale, orca",,鯱
おにかます,a great Barracuda,,鬼魣
ふじつぼ,a barnacle,,藤壺
おにおこぜ(鬼虎魚),scorpion fish,,オニオコぜ
みのかさご(蓑笠子),lionfish,,ミノカサゴ
もうどく,deadly poison,,猛毒
かせん,rivers,,河川
ぎょしょう,a rocky place under water where fish tend to gather,,漁礁
かくはん,"whip, churn, stir",,攪拌
こうはん,"broad, wide-ranging",,広範
あな,hole,,穴
ぎゃくりゅう,"backward flow, back current",,逆流
べん,valve,,弁
じゅくたつ,become proficient,,熟達
そうさい,"offset, cancel each other out",,相殺
めいりょう,"clearness, plainness",,明瞭
