Kana  ,English  ,Common Japanese  ,Kanji  
ふしょく,"corrosion, erosion",,腐食
きし,"the bank, the shore, the coast",,岸
ししょう,"an obstacle, difficulty",,支障
ちんでんぶつ,a sediment,,沈殿物
ばっぽんてき,"radical, drastic",,抜本的
せきつい,"the spine, the backbone",,脊椎
かんあん,consideration,,勘案
がいりゃく,"outline, summary",,概略
せっしゅ,"absorption, intake",,摂取
いんとう,the pharynx,,咽頭
こうとう,the larynx (Kehlkopf),,喉頭
しんぼう,an atrium of the heart,,心房
たいじ,"an unborn child, an embryo",,胎児
らんえんこう,a foreman ovale,,卵円孔
ちめいてき,"fatal, deadly",,致命的
ちくせき,accumulation,,蓄積
きょうかく,"the chest, the thorax",,胸郭
ふいご,a (pair of) bellows,,フイゴ
れんたい,solidarity,,連帯
こうじ,of a high order,,高次
