Kana  ,English  ,Common Japanese  ,Kanji  
そくせん,embolization,,塞栓
しっかん,"a disease, an ailment",,疾患
こまめに,diligently,,小まめに
けったん,bloody phlegm,,血痰
おかん,"shiver with fever, feel a chill",,悪寒
じゅうとく,gravely ill,,重篤
きしゅ,emphysema,,気腫
ききょう,pneumothorax,,気胸
はいほう,an air cell,,肺胞
かんき,ventilation,,換気
かんけつ,intermittent,,間欠
ほてり,"a burning sensation, a glow",,火照り
けんたい,"weariness, fatigue",,倦怠
ちょうこう,symptom,,兆候
とうすい,"intoxication, rapture",,陶酔
ひねつ,specific heat,,比熱
かぎゅう,cochlea (Innenohr),,蝸牛殻
かぎゅうかく,cochlea (Innenohrschnecke),,蝸牛殻
ぜんてい,the vestibule (of the ear),,前提
こうじょうせん,the thyroid gland (Schilddrüse),,甲状腺
